,cluster,dist
477,2,2.1345623594092555
478,3,2.035356863645886
479,2,3.8123148788398105
480,2,2.074147611025964
481,2,1.6520771683520432
482,2,4.730984653098666
483,0,2.5028763397702174
484,3,4.7988528710667255
485,2,2.17151404390956
486,1,3.0607346264121347
487,2,3.062730616716644
488,0,2.751317237664032
489,3,2.9311109503689994
490,2,3.9075186326091274
491,2,3.7945194509826368
492,2,3.7763789741994698
493,2,2.248625919769785
494,1,3.0607346264121347
495,1,2.411546372034892
496,2,1.6488129829779856
497,2,3.156143695740207
498,3,5.641097083467267
499,0,4.131496752173027
500,3,2.9032172024871774
501,1,4.0421768128328495
502,1,4.0421768128328495
503,0,4.267627194351463
504,2,2.1233889840562634
505,0,2.70408491117905
506,2,2.9642023081227165
507,3,2.6349767677923586
508,1,4.017962271272526
509,0,1.4727591462330734
510,0,1.7233200736714893
511,0,4.484071854536339
512,2,1.6836727463184435
513,0,3.3476820695730183
514,3,1.7698606222128155
515,1,3.2337457770239735
516,2,4.806240583295206
517,0,5.050973352634664
518,2,4.686768153603893
519,2,4.683205021937218
520,2,2.919139697574241
521,2,1.6171462957637364
522,2,2.124174998069846
523,2,2.1337801717593283
524,2,1.5586084589822162
525,0,1.9541641575812925
526,1,1.7961183015866784
527,2,2.0379810748709803
528,2,2.2962576710626847
529,0,3.518350717082749
530,2,2.206902062523178
531,2,3.842725508397539
532,2,3.756575759416491
533,2,3.04579984891311
534,2,3.7310181433190905
535,2,2.282852109602378
536,2,3.2479802436919165
537,1,4.059540026748608
538,2,1.881641246792936
539,1,4.060657073944413
540,3,3.8222805053900757
541,2,2.420058417240855
542,3,2.3321157732747753
543,1,3.1407224735023784
544,1,1.8263571673791723
545,0,4.534291919205996
546,0,1.893136703626776
547,2,3.2948444330858493
548,2,4.076151418350281
549,0,3.2001690490772954
550,2,2.203202868770259
551,2,2.0963262983905344
552,2,4.7229103555845136
553,3,2.0221327239985447
554,0,2.6576224857549384
555,2,3.0256036424203026
556,2,4.720089929934443
557,2,2.9078105957217515
558,2,1.891374863580253
559,2,2.282769012156146
560,2,3.7570201065537465
561,2,2.124174998069846
562,2,3.8435942322930243
563,0,2.635970721658772
564,2,3.1626162314022372
